user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
A5997,"['MeltInk3D PLA- 1K175BLK05 Black PLA 3D Printer Filament &Oslash; 1.75mm, 1Kg (2.2 Lb), MADE in U.S.A, Dimensional Accuracy: &plusmn; 0.05mm', 'RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Yellow']","HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.05 mm, 1 kg Spool, 1.75 mm, White","[2886, 2833, 1336, 2844]",2195,"['<a_135><b_215><c_69><d_1>', '<a_27><b_239><c_217>', '<a_252><b_189><c_196>', '<a_18><b_217><c_211><d_3>']",<a_15><b_33><c_22><d_1>
A6047,['RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle'],3D Solutech Skin 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG),[2833],3039,['<a_27><b_239><c_217>'],<a_249><b_29><c_32>
A6047,"['RepRap Champion Metal J-Head V6 Hot End for RepRap 3D Printer 1.75mm Filament Direct Feed Extruder 0.4mm Nozzle', '3D Solutech Skin 3D Printer PLA Filament 1.75MM Filament 2.2 LBS (1.0KG)']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Beige","[2833, 3039]",3043,"['<a_27><b_239><c_217>', '<a_249><b_29><c_32>']",<a_247><b_50><c_190>
A415,"['Gardner Bender GSW-17  Electrical Toggle Switch, SPST, ON-OFF, 6 A/120V AC,  Screw Terminal', 'Racers Edge 3000 1/2-Ounce Bottle W Needle Tip', 'Century Drill and Tool 95107 Coarse Plug Hand Tap, 3/8-16', 'MG Chemicals 824-1L 99.9% Isopropyl Alcohol Liquid Cleaner, Clear , 945 mL (1 US Quart)', 'uxcell 5 Pcs Dual Row 4 Position Covered Screw Terminal Strip 600V 25A', 'Uxcell a10073000ux0031 2 Pcs 8 Position Double Row Screw Terminal Covered Barrier Strip 600V 25A', 'Loctite Liquid Professional Super Glue  20-Gram Bottle (1365882)', 'CRC 5037 White Lithium Grease - 10 Wt Oz.', 'kingsmart Anti Static ESD Wrist Strap Discharge Band Grounding', 'uxcell Metric Taps M2 Pitch 3 Flutes H2 Thread Plug Tap HSS for Clocks and Watches DIY']",uxcell 5 Pcs Dual Row 4 Position Covered Screw Terminal Strip 600V 25A,"[432, 402, 1036, 552, 81, 1294, 176, 49, 229, 1331]",81,"['<a_90><b_162><c_84>', '<a_190><b_184><c_92>', '<a_232><b_183><c_1>', '<a_158><b_213><c_183>', '<a_32><b_103><c_57><d_1>', '<a_182><b_17><c_19>', '<a_113><b_208><c_67>', '<a_237><b_67><c_16>', '<a_168><b_46><c_192>', '<a_10><b_192><c_158>']",<a_32><b_103><c_57><d_1>
A1287,"['Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)', 'Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)', 'Arctic Silver 5 AS5-3.5G Thermal Paste', 'Karter Scientific 210P2 Safety Wash Bottle, Narrow Mouth, 500 mL Capacity, Polypropylene/Plastic (Pack of 6)', 'Stanley 21-106 8-Inch Mill Bastard File', 'JB Industries DVO-24 Bottle of Black Gold Vacuum Pump Oil, 1 gallon - GIDDS-2463009', 'White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25\' Length', 'White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10\' Length']","Emergency Repair Tape, Self-Fusing Silicone Tape, 12' x 1"", Red","[125, 125, 586, 1491, 594, 2132, 79, 80]",796,"['<a_95><b_30><c_73>', '<a_95><b_30><c_73>', '<a_88><b_65><c_39>', '<a_77><b_204><c_202>', '<a_226><b_185><c_71>', '<a_177><b_74><c_251>', '<a_149><b_143><c_69><d_1>', '<a_149><b_143><c_69><d_2>']",<a_253><b_5><c_141>
A1287,"['Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)', 'Monoprice Hook & Loop Fastening Tape 5 yard/roll, 0.75-inch - Blue (105830)', 'Arctic Silver 5 AS5-3.5G Thermal Paste', 'Karter Scientific 210P2 Safety Wash Bottle, Narrow Mouth, 500 mL Capacity, Polypropylene/Plastic (Pack of 6)', 'Stanley 21-106 8-Inch Mill Bastard File', 'JB Industries DVO-24 Bottle of Black Gold Vacuum Pump Oil, 1 gallon - GIDDS-2463009', 'White SiliconeTubing, 1/2""ID, 3/4""OD, 1/8""Wall, 25\' Length', 'White SiliconeTubing, 3/16""ID, 1/4""OD, 1/32"" Wall, 10\' Length', 'Emergency Repair Tape, Self-Fusing Silicone Tape, 12\' x 1"", Red']",J-B Weld 31314 Red High Temperature RTV Silicone Gasket Maker and Sealant - 3 oz.,"[125, 125, 586, 1491, 594, 2132, 79, 80, 796]",603,"['<a_95><b_30><c_73>', '<a_95><b_30><c_73>', '<a_88><b_65><c_39>', '<a_77><b_204><c_202>', '<a_226><b_185><c_71>', '<a_177><b_74><c_251>', '<a_149><b_143><c_69><d_1>', '<a_149><b_143><c_69><d_2>', '<a_253><b_5><c_141>']",<a_148><b_109><c_146>
A1365,"['PORTER-CABLE NS18Pp 18 Gauge Narrow Crown Staple Project Pack, 900 Count, Various Sizes', 'Wixey WR300 Type 2 Digital Angle Gauge with Backlight&hellip;', 'BOSTITCH BT1350B-1M 2-Inch 18-Gauge Brads, 1000 per Box, Coated', 'ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D', 'Kreg SML-C125-500 1-1/4-Inch #8 Coarse Pocket Hole Screws with Washer-Head, 500-Pack', 'Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion', 'GREX P6/MP-3 23 Gauge Multi-Pack Headless Pins (3,000 per box)', 'GREX P6/MP-3 23 Gauge Multi-Pack Headless Pins (3,000 per box)']","Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon","[698, 74, 297, 175, 2, 75, 78, 78]",34,"['<a_33><b_229><c_198>', '<a_147><b_58><c_21>', '<a_52><b_102><c_53><d_3>', '<a_251><b_77><c_201>', '<a_2><b_220><c_205><d_1>', '<a_44><b_147><c_170>', '<a_127><b_8><c_122>', '<a_127><b_8><c_122>']",<a_240><b_26><c_240>
A1506,"['SummitLink 415 Pcs Black Assorted Heat Shrink Tube 10 Sizes Tubing Wrap Sleeve Set Combo', 'Neiko 50484A Internal Hex/Allen Socket-Head Set Screw Assortment, (200 Piece), 5/32"" x 3/16""/1/4"" x 3/8', 'Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black', 'Sun Company 201-F Lev-o-gage Inclinometer and Tilt Gauge', 'URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size']","MegaDeal AC201710300001 12 Pack 2"" Swivel Caster Wheels Rubber Base with Top Plate & Bearing Heavy Duty","[1502, 303, 238, 571, 149]",102,"['<a_71><b_186><c_53><d_2>', '<a_22><b_94><c_52>', '<a_54><b_77><c_183>', '<a_194><b_79><c_188>', '<a_13><b_118><c_88>']",<a_78><b_200><c_119>
A1776,"['3-IN-ONE  Multi-Purpose PTFE Lubricant, 4 OZ', 'Georgia-Pacific ADS200B Cormatic Automated Designer Series Towel Dispenser', 'Brawny Dine-A-Cloth 29651 FLAX 700 Medium Duty Back-of-House Foodservice Wipers, 1/4 Fold (Pack of 150)', 'Seek Thermal Reveal Thermal Imaging Camera and LED Light, Blue', 'Georgia-Pacific 53010 Automated Soap and Sanitizer Dispenser, Black (WxDxH) 5.680"" x 5.250"" x 10.750"" (1 Each)', 'Rubbermaid Commercial Trademaster 5 Drawer Mobile Work Center, 33"" L x 20"" W x 34"" H, Black/Red (FG773488BLA)', 'Rubbermaid Commercial Slim Jim End Step-On Trash Can, Stainless Steel, 13 Gallon, White', '3M(TM) Cubitron(TM) II Flap Disc 967A, T29 Giant (Multiple Sizes and Grit Types)', '3Doodler Create 3D Pen with 50 Plastic Strands, No Mess, Non-Toxic -']","Bel-Art Labmat Bench Liner; 50 Feet, White (F24675-0000)","[157, 1717, 2678, 1084, 2679, 2046, 2675, 1693, 1643]",1289,"['<a_107><b_10><c_35>', '<a_63><b_125><c_148>', '<a_105><b_251><c_205>', '<a_122><b_16><c_230>', '<a_11><b_18><c_189>', '<a_30><b_54><c_57>', '<a_228><b_74><c_123>', '<a_43><b_213><c_86>', '<a_234><b_36><c_13>']",<a_79><b_173><c_176>
A2371,"['Silica Gel Desiccants 2-1/4 x 1 1/2 Inches - 25 Silica Gel Packets of 10 Grams Each by Dry-Packs', 'Break-Free CLP-4 Cleaner Lubricant Preservative Squeeze Bottle (4 -Fluid Ounce)', 'Brew Hauler FE338  Nylon carboy carrier', 'Gorilla Super Glue Gel, 15 Gram, Clear', 'ColorConnex Coupler & Plug Kit (7 Piece), Industrial Type D, 1/4 in. NPT, Red - A73457D', 'Ginsco 200pcs 3 Size Heat Shrink Butt Connectors Kit Electrical Insulated Wire Terminal 10-22 AWG Set']",Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion,"[872, 241, 2413, 145, 175, 461]",75,"['<a_53><b_31><c_81>', '<a_177><b_201><c_232>', '<a_30><b_38><c_199>', '<a_242><b_187><c_134>', '<a_251><b_77><c_201>', '<a_81><b_132><c_247>']",<a_44><b_147><c_170>
A2836,"['Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black', '10ml Graduated Cylinder, Borosilicate 3.3 Glass, Single Metric Scale, Karter Scientific 213I10 (Single)']","URBEST Digital PH Meter, Black","[238, 2661]",324,"['<a_54><b_77><c_183>', '<a_24><b_180><c_6><d_1>']",<a_147><b_126><c_152>
A3319,"['Rescue Tape RT1000201202USCO', 'Rescue Tape RT1000201202USCO']","X-Treme Tape TPE-XZLB Silicone Rubber Self Fusing Tape, 1"" x 10', Triangular, Black","[153, 153]",758,"['<a_39><b_177><c_159>', '<a_39><b_177><c_159>']",<a_91><b_217><c_94><d_1>
A4552,"['Gorilla Tape, White Duct Tape, 1.88"" x 30 yd, White, (Pack of 1)', 'Precision Brand M6S Micro Seal, Miniature All Stainless Worm Gear Hose Clamp, 5/16"" - 7/8"" (Pack of 10)', 'Marrywindix 6pcs ESD Precision Anti-Static Tweezers, Tweezers Stainless Steel Tweezers with a Bag for Electronics Jewelry-Making Repairing', 'Get Bats Out Rubber Toilet Plunger for Bathroom, Sink & Drain Clogs - Use in Homes, Commercial & Industrial bldgs', 'BAFX Products&Acirc; - Decibel Meter/Sound Level Reader - W/Battery!', 'Apache 98441022 1/4"" Quick Disconnect Pressure Washer Adapter Set']","Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black","[310, 36, 119, 1841, 1525, 1177]",133,"['<a_25><b_71><c_7>', '<a_26><b_79><c_129>', '<a_157><b_25><c_149>', '<a_171><b_245><c_76>', '<a_239><b_197><c_83>', '<a_45><b_178><c_41>']",<a_54><b_2><c_246>
A4835,"['Teenitor 3ML Plastic Transfer Pipettes Eye Dropper Pack of 150 - Essential Oils Pipettes Dropper Makeup Tool', 'URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size', 'Ginsco 200pcs 3 Size Heat Shrink Butt Connectors Kit Electrical Insulated Wire Terminal 10-22 AWG Set', 'Accessbuy 180-Piece Rubber Grommet Shop Assortment']",ShipGuard 600 Ziplock Bags 6 Assorted Sizes Clear 2MIL baggies1.5x2 2x2 2x3 3x3 3x4 3x5,"[2246, 149, 461, 1016]",613,"['<a_117><b_116><c_69>', '<a_13><b_118><c_88>', '<a_81><b_132><c_247>', '<a_80><b_154><c_92>']",<a_55><b_188><c_191>
A4965,"['SMC KQ2S04-M5A Brass Push-to-Connect Tube Fitting, Hex Socket Head Adapter, 4 mm Tube OD x M5x0.8 Male', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White', 'SainSmart PLA-151 PLA Filament (Red)', 'HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Purple', 'eSUN 3D 1.75mm PETG Black Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque Black', 'Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black']","eSUN 3D 1.75mm PETG White Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque White","[2987, 1477, 2176, 2952, 2166, 238]",2534,"['<a_198><b_169><c_254>', '<a_68><b_165><c_5><d_1>', '<a_135><b_149><c_33>', '<a_15><b_33><c_22><d_2>', '<a_34><b_29><c_40><d_2>', '<a_54><b_77><c_183>']",<a_84><b_26><c_117><d_3>
A5255,['(2 Pack) Petrol Gel Food Grade Equipment LubricantNSF (2/4 oz. Tube)'],"Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black",[2945],133,['<a_77><b_201><c_197>'],<a_54><b_2><c_246>
A5255,"['(2 Pack) Petrol Gel Food Grade Equipment LubricantNSF (2/4 oz. Tube)', 'Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black']",Pac-Kit by First Aid Only 12-080 BZK First Aid Antiseptic Towelette (Box of 25),"[2945, 133]",1903,"['<a_77><b_201><c_197>', '<a_54><b_2><c_246>']",<a_82><b_53><c_232>
A6240,"['Apera Instruments AI209 PH20 Value Waterproof pH Pocket Tester, &plusmn;0.1 pH Accuracy, 0-14.0 pH Range, Complete Kit', 'Red Brass Pipe Fitting, Nipple, Schedule 40 Seamless, 1/4"" NPT Male X 4"" Length', 'PneumaticPlus PPR2-N02BG-2 Miniature Air Pressure Regulator 1/4"" NPT - Gauge, Bracket, Instrument Pressure (3-30 PSI)', 'Primefit R1401G Mini Air Regulator with steel-Protected Gauge, 60-Scfm At 100-Psi, 1/4"" Npt']","ACM Economy Wash Bottle, LDPE, Squeeze Bottle Medical Label Tattoo (500ml / 16oz / 1 Bottle)","[622, 1754, 1922, 1261]",1043,"['<a_76><b_20><c_120>', '<a_140><b_91><c_220><d_2>', '<a_223><b_117><c_48>', '<a_75><b_77><c_42>']",<a_225><b_228><c_199>
A264,"['Acetal Copolymer Round Rod, Opaque Black, Standard Tolerance, ASTM D6778, 3"" Diameter, 6"" Length', 'Clear Polycarbonate Tubing, 1-1/8"" ID, 1-1/4"" OD, 1/16"" Wall, 3\' Length', 'Fluke 323 True-RMS Clamp Meter', 'Scott Rags In A Box 75260, White, 200 Shop Towels/Box, 8 Boxes/Case', 'PSI LCENTLT2 No. 2MT Heavy Duty Live Tailstock Center', 'Big Horn 19053C 3 Pieces 8-Inch Spring Caliper / Divider Set']","POWERTEC 15505 White Aluminum Oxide Grinding Wheel, 8-Inch by 1-Inch, 5/8-Inch Arbor, 120 Grit","[677, 965, 966, 967, 69, 675]",968,"['<a_37><b_95><c_84>', '<a_37><b_77><c_229>', '<a_193><b_104><c_33>', '<a_63><b_251><c_153>', '<a_165><b_183><c_8>', '<a_196><b_84><c_103>']",<a_69><b_128><c_142>
